mrun,nomb_inst,nomb_sede,comuna_sede,nom_com_rbd
251229.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,OVALLE
257370.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
257641.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
278769.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN VICENTE
278769.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN VICENTE
281476.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
282193.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
282193.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
286693.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VILLA ALEMANA
286693.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILPUÉ
288937.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,PUNTA ARENAS
291149.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VILLA ALEMANA
291149.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VILLA ALEMANA
293044.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
293262.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,CASABLANCA
293262.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,CASABLANCA
295937.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,LOS ANDES
295937.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,LOS ANDES
298771.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
303363.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
318197.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
319323.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
319323.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
321527.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
321527.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
321918.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN FELIPE
321918.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN FELIPE
324235.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
333270.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
334760.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
334760.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
